Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Les Printemps sonores;Île-de-France;Val-d'Oise;95120;;Musique;Avant-saison (1er janvier - 20 juin);FEST_95219_2123;48.98824217, 2.25662443737
Festival international de sculpture Camille Claudel;Grand Est;Vosges;88250;1990;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_88075_2716;48.0185002514, 6.92615548288
Quai 9 à Kerhervy;Bretagne;Morbihan;56600;2017;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_56098_2955;47.7691924277, -3.32648317962
Les p'tites toiles d'Emile;Hauts-de-France;Nord;59000;2012;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_59350_3348;50.6317183168, 3.04783272312
Looping Festival;Île-de-France;Seine-Saint-Denis;93100;;Musique;Après-saison (6 septembre - 31 décembre);FEST_93048_4135;48.8633175054, 2.44816211857
Renc'Art au Méliès;Île-de-France;Seine-Saint-Denis;93100;2011;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_93048_4139;48.8633175054, 2.44816211857
Salon du livre de Nantua;Auvergne-Rhône-Alpes;Ain;1130;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_01269_4329;46.1537845403, 5.61352793799
Voix et Musiques;Pays de la Loire;Vendée;85110;2018;Musique;Saison (21 juin - 5 septembre);FEST_85266_6136;46.7502017421, -0.974504061491
Festival du Livre Jeunesse – Je Lis Mômes;Nouvelle-Aquitaine;Charente-Maritime;17600;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_17421_6255;45.6754417186, -0.936728980856
Fana Manga;Auvergne-Rhône-Alpes;Allier;3400;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_03321_7233;46.5636456232, 3.37978160133
Rencontres cinématographiques de Vence;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6140;1992;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_06157_6967;43.7384640641, 7.10194436087
Les rencontres de la photographie d'arles;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13200;1970;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_13004_354;43.5468692378, 4.66215642574
Au coeur de Cosne;Auvergne-Rhône-Alpes;Allier;3430;2005;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_03084_1833;46.482962805, 2.82323006329
Ballades en Novembre;Île-de-France;Val-d'Oise;95270;01/01/2002 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_95652_7034;49.1231107932, 2.37799676025
Dagneux aime la musique;Auvergne-Rhône-Alpes;Ain;1120;2017;Musique;Saison (21 juin - 5 septembre);FEST_01142_1916;45.8531616918, 5.07289166803
Rencontres de BD de Marly;Grand Est;Moselle;57155;;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_57447_3666;49.0658509672, 6.15231485365
Festival de Buguélès;Bretagne;Côtes-d'Armor;22710;2002;Musique;Saison (21 juin - 5 septembre);FEST_22166_4944;48.816014407, -3.30224745841
Cours en Betton - Festival du film de l'Ouest;Bretagne;Ille-et-Vilaine;35830;2009;Cinéma, audiovisuel;;FEST_35238_5351;48.1119791219, -1.68186449144
La houle des mots;Bretagne;Côtes-d'Armor;22750;2016;Livre, littérature;Saison (21 juin - 5 septembre);FEST_22302_5911;48.5879964752, -2.1932468359
Musique ancienne en Pic-Saint-Loup & gorges de l'Hérault;Occitanie;Hérault;34980;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_34266_1478;43.7516512162, 3.83370653974
Cantar lou pais (chanter le pays);Provence-Alpes-Côte d'Azur;Var;83440;1996;Musique;Avant-saison (1er janvier - 20 juin);FEST_83124_6310;43.6466457482, 6.61301408536
Les carnets;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13640;2016;Livre, littérature;Saison (21 juin - 5 septembre);FEST_13084_2857;43.7176409517, 5.30157633559
Bobines Rebelles;Hauts-de-France;Aisne;2000;2011;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_02478_3865;49.5137172169, 3.49932983224
Imago;Île-de-France;Paris;75014;2018;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_75114_2613;48.8289932116, 2.32710088326
OPUS POCUS;La Réunion;La Réunion;97460;2012;Musique;Août;FEST_97415_6093;-21.0445317522, 55.3223334298
Festival de la gastronomie provencale;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13790;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_13025_1541;43.4912659702, 5.56821681952
Le festival Les AnthropoScènes;Normandie;Eure;27000;2022;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_27229_2159;49.02015421, 1.14164412464
Brive Festival;Nouvelle-Aquitaine;Corrèze;19100;2005;Musique;Saison (21 juin - 5 septembre);FEST_19031_1091;45.1435830664, 1.51936836063
Festival International du Cirque de Bayeux;Normandie;Calvados;14400;2005;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_14047_660;49.2776559195, -0.704625495378
En avant-pays, le livre;Auvergne-Rhône-Alpes;Savoie;73330;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_73039_739;45.5651185204, 5.6763421885
Boulevard Sainte-Beuve;Hauts-de-France;Pas-de-Calais;62200;2007;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_62160_957;50.7271332663, 1.60756334802
Instants de Grasse;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6130;2016;Musique;Saison (21 juin - 5 septembre);FEST_06069_2442;43.655639428, 6.93190508233
Rrom fest;Occitanie;Aude;11700;;Musique;Saison (21 juin - 5 septembre);FEST_11068_1246;43.1836102247, 2.5538350475
Jeux d'eau;Centre-Val de Loire;Loiret;45500;2013;Musique;Saison (21 juin - 5 septembre);FEST_45155_2396;47.71227944, 2.66549550204
Vins sur Vingt;Pays de la Loire;Maine-et-Loire;49320;2014;Musique;Avant-saison (1er janvier - 20 juin);FEST_49167_3254;47.40011602, -0.484584915233
Mostra teatrale;Corse;Haute-Corse;20246;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_2B230_5031;42.5857060069, 9.27821414573
Wee ! Week-end Électro;Nouvelle-Aquitaine;Vienne;86000;2013;Musique;Avant-saison (1er janvier - 20 juin);FEST_86194_5120;46.5839207726, 0.359947653003
Contes et Légendes à la Ferme;Île-de-France;Seine-et-Marne;77160;2014;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_77379_5228;48.5633093312, 3.28756780085
Quartiers d'été;Bretagne;Ille-et-Vilaine;35000;1993;Musique;Saison (21 juin - 5 septembre);FEST_35238_5393;48.1119791219, -1.68186449144
Chouet festival;Auvergne-Rhône-Alpes;Loire;42155;2006;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_42239_5937;45.9576591068, 3.98572458074
Salon Athena;La Réunion;La Réunion;97410;;Livre, littérature;Octobre;FEST_97416_6115;-21.3123242427, 55.4936155164
Cinética;Corse;Haute-Corse;20200;2016;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_2B033_640;42.6864768806, 9.42502133338
Petites fugues littéraires en Franche-Comté;Bourgogne-Franche-Comté;Doubs;25000;2001;Livre, littérature;Saison (21 juin - 5 septembre);FEST_25056_783;47.2553872249, 6.01948696494
Festival Chapeau Bas, l'Artiste !;Provence-Alpes-Côte d'Azur;Vaucluse;84480;2010;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_84020_888;43.8270930656, 5.31457906958
Foire aux Croûtes;Bretagne;Finistère;29200;1990;Musique;Avant-saison (1er janvier - 20 juin);FEST_29019_1045;48.4004997828, -4.5027907853
Festival Madistan;Occitanie;Lot;46160;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_46041_1135;44.4996325916, 1.87599580969
Théâtre du Clain / Les Comédiales;Nouvelle-Aquitaine;Vienne;86360;1999;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_86062_1513;46.6518600158, 0.361722698793
Les sons du lac;Auvergne-Rhône-Alpes;Savoie;73390;2007;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_73079_1534;45.5473788658, 6.18096637147
Les arts Foreztiers;Auvergne-Rhône-Alpes;Haute-Loire;43230;2010;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_43067_1597;45.1574777226, 3.58519893756
Rencontres musicales;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;;Musique;Après-saison (6 septembre - 31 décembre);FEST_63113_1689;45.7856492991, 3.11554542903
Regards d'ailleurs;Centre-Val de Loire;Eure-et-Loir;28100;2000;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_28134_2057;48.7485203213, 1.35931854112
Graines d'Automne;Pays de la Loire;Loire-Atlantique;44170;2015;Musique;Après-saison (6 septembre - 31 décembre);FEST_44113_4487;47.5728858483, -1.60097664616
Art Up !;Hauts-de-France;Nord;59600;2007;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_59350_3319;50.6317183168, 3.04783272312
Les Ailes du livre;Grand Est;Meurthe-et-Moselle;54400;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_54323_3427;49.5214021779, 5.76638370702
Festival de Bussang;Grand Est;Vosges;88540;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_88081_1117;47.8913024927, 6.87663647751
Allegro amabile moments musicaux;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6390;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_06029_1206;43.5526202843, 7.00427592728
Festenal Mai que mai;Occitanie;Hérault;34390;2008;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_34080_1754;43.5853145564, 3.01084654208
Soirées Musicales en Val-de-Seugne;Nouvelle-Aquitaine;Charente-Maritime;17500;1997;Musique;Saison (21 juin - 5 septembre);FEST_17163_2257;45.3786053942, -0.382932208818
Lire et Dire pour le Plaisir;Martinique;Martinique;97200;2006;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_97209_2289;14.6411114389, -61.0691889244
Celt'in Lor;Grand Est;Meurthe-et-Moselle;54500;;Musique;Après-saison (6 septembre - 31 décembre);FEST_54430_2330;48.7732074334, 6.11082140462
Festiv'arts;Auvergne-Rhône-Alpes;Isère;38000;2003;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_38185_2467;45.1821215167, 5.72133051752
Ré Majeure;Nouvelle-Aquitaine;Charente-Maritime;17670;2011;Musique;Après-saison (6 septembre - 31 décembre);FEST_17121_2748;46.2010718838, -1.4366169353
Abracadabulles;Pays de la Loire;Vendée;85340;2000;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_85194_3271;46.5007612799, -1.79255128677
D'un Bord à l'Autre;Centre-Val de Loire;Loiret;45000;2010;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_45234_4536;47.8828634214, 1.91610357477
Zic O'loustics;Bretagne;Côtes-d'Armor;22150;2009;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_22203_5062;48.3440952237, -2.76649702896
Bruits de Langues;Nouvelle-Aquitaine;Vienne;86000;2010;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_86194_5103;46.5839207726, 0.359947653003
Jazz à ramatuelle;Provence-Alpes-Côte d'Azur;Var;83350;1986;Musique;Saison (21 juin - 5 septembre);FEST_83101_5285;43.2186126186, 6.63754734174
Jazz À Saint-Sat;Nouvelle-Aquitaine;Charente;16290;2009;Musique;Avant-saison (1er janvier - 20 juin);FEST_16348_6157;45.6676447323, 0.0400326832597
Les z'expressives;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13300;1989;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_13103_6211;43.6462885238, 5.06814649576
Moissons;Centre-Val de Loire;Indre-et-Loire;37000;2020;Musique;Après-saison (6 septembre - 31 décembre);FEST_37261_6750;47.3986382281, 0.696526376417
Pas'sage;Nouvelle-Aquitaine;Gironde;33390;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_33058_850;45.127899764, -0.669707092291
Queyries fait son cirque;Nouvelle-Aquitaine;Gironde;33000;1999;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_33063_925;44.8572445351, -0.57369678116
Festival Eclat(s) de rue;Normandie;Calvados;14000;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_14118_1142;49.1847936737, -0.369801713036
Pig'halle;Auvergne-Rhône-Alpes;Isère;38160;;Musique;Saison (21 juin - 5 septembre);FEST_38359_5654;45.1722353559, 5.21609050981
Saint-Céré dans l’art rue;Occitanie;Lot;46400;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_46251_5702;44.8531827667, 1.89258045388
Pampa Festival;Nouvelle-Aquitaine;Gironde;33220;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_33402_5772;44.8408428381, 0.217540501109
Festival international de courts métrages cinéma en liberté;Provence-Alpes-Côte d'Azur;Var;83000;2011;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_83137_6604;43.1361589728, 5.93239634249
Nuits de Champagne;Grand Est;Aube;10000;1988;Musique;Après-saison (6 septembre - 31 décembre);FEST_10387_6807;48.2967099637, 4.07827967525
Festival estival de musique de chambre en Pays de Gex;Auvergne-Rhône-Alpes;Ain;1210;1998;Musique;Saison (21 juin - 5 septembre);FEST_01160_2207;46.2519789243, 6.10826403805
Dédicasaux;Auvergne-Rhône-Alpes;Puy-de-Dôme;63490;2005;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_63415_6279;45.562939202, 3.37211320059
Nice classic live;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;1957;Musique;Saison (21 juin - 5 septembre);FEST_06088_4405;43.7119992661, 7.23826889465
Salon des auteurs de Vichy;Auvergne-Rhône-Alpes;Allier;3200;2008;Livre, littérature;Saison (21 juin - 5 septembre);FEST_03310_7043;46.1300051383, 3.42442081174
Voies off;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13200;;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_13004_361;43.5468692378, 4.66215642574
Festial Photographique de Loué;Pays de la Loire;Sarthe;72540;2012;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_72168_3464;47.9976308821, -0.138237768355
Bloody week-end;Bourgogne-Franche-Comté;Doubs;25400;2010;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_25031_448;47.4811676376, 6.85493983157
Fête de la BD d'Audincourt;Bourgogne-Franche-Comté;Doubs;25400;1985;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_25031_449;47.4811676376, 6.85493983157
Chemins des arts, festival de danse en milieu rural;Bourgogne-Franche-Comté;Nièvre;58700;2005;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_58018_476;47.2653242927, 3.41891982538
Lyrique en Mer;Bretagne;Morbihan;56360;1998;Musique;Saison (21 juin - 5 septembre);FEST_56152_735;47.3426909682, -3.17102952046
L'Automne baroque de Bourges;Centre-Val de Loire;Cher;18000;2019;Musique;Après-saison (6 septembre - 31 décembre);FEST_18033_993;47.0749572013, 2.40417137557
Les très riches heures de l'orgue en Berry;Centre-Val de Loire;Cher;18000;1986;Musique;Saison (21 juin - 5 septembre);FEST_18033_996;47.0749572013, 2.40417137557
Cello fan;Provence-Alpes-Côte d'Azur;Var;83440;;Musique;Saison (21 juin - 5 septembre);FEST_83029_1183;43.6125180228, 6.75708895004
Les Lisztomanias;Centre-Val de Loire;Indre;36000;2002;Musique;Après-saison (6 septembre - 31 décembre);FEST_36044_1552;46.8029617828, 1.69399812001
Le rendez-vous du carnet de voyage;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;1999;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_63113_1679;45.7856492991, 3.11554542903
Balearec'h Festival;Bretagne;Finistère;29120;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_29037_1762;47.8868597702, -4.16414997559
Festival L'appel du large;Normandie;Calvados;14800;2021;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_14220_1932;49.3543800887, 0.0744665786308
La Vie en Reuz;Bretagne;Finistère;29100;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_29046_2041;48.0806526556, -4.32784220122
Salon du livre de la Baume-Cornillane;Auvergne-Rhône-Alpes;Drôme;26120;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_26032_2705;44.8296348413, 5.04790034542
Les Rives en Fête;Pays de la Loire;Loire-Atlantique;44118;2008;Musique;Saison (21 juin - 5 septembre);FEST_44041_2735;47.0891104813, -1.596195347
Doc-Cévennes / festival international du documentaire de Lasalle-en-Cévennes;Occitanie;Gard;30460;2020;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_30140_3004;44.0428979358, 3.85182045128
Festival Musique en Périgord;Nouvelle-Aquitaine;Dordogne;24260;1989;Musique;Saison (21 juin - 5 septembre);FEST_24067_3045;44.9264427991, 0.924662888033
Musique en Dévoluy;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5250;1985;Musique;Saison (21 juin - 5 septembre);FEST_05139_3076;44.6775419763, 5.94047368781
Trace de poète;Provence-Alpes-Côte d'Azur;Vaucluse;84800;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_84054_3411;43.913397592, 5.05664277545
Belles Latinas;Auvergne-Rhône-Alpes;Métropole de Lyon;69001;2002;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_69126_3518;45.9139105552, 4.67605163558
15 cents coups;Île-de-France;Paris;75015;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_75115_4605;48.8401554186, 2.29355937244
Mennecy Metal Fest;Île-de-France;Essonne;91540;01/01/2012 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_91386_3857;48.5586242184, 2.43753236038
I'm from Rennes;Bretagne;Ille-et-Vilaine;35000;2012;Musique;Après-saison (6 septembre - 31 décembre);FEST_35238_5361;48.1119791219, -1.68186449144
Made Festival;Bretagne;Ille-et-Vilaine;35000;2016;Musique;Avant-saison (1er janvier - 20 juin);FEST_35238_5385;48.1119791219, -1.68186449144
Thoiry 100 Histoires;Auvergne-Rhône-Alpes;Ain;1710;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_01419_6557;46.2435475879, 5.96506297987
Les p'tites rencontres autour de la littérature jeunesse;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;4991;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_04070_1956;44.0908723554, 6.23590323452
Atom Festival;Occitanie;Aude;11410;2018;Musique;Saison (21 juin - 5 septembre);FEST_11275_4927;43.2622935263, 1.87477238509
Le Printemps de Bourges Crédit Mutuel;Centre-Val de Loire;Cher;18000;1977;Musique;Avant-saison (1er janvier - 20 juin);FEST_18033_994;47.0749572013, 2.40417137557
Image par Image;Île-de-France;Val-d'Oise;95000;2000;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_95018_330;48.9511344629, 2.2410409502
Festival du film d'un jour;Bourgogne-Franche-Comté;Territoire de Belfort;90000;2019;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_90010_724;47.6471539414, 6.84541206237
Le Festival du fantastique;Occitanie;Hérault;34500;2019;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_34032_806;43.3475883319, 3.23076754164
Palmipède;Île-de-France;Essonne;91120;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_91477_4586;48.7146765876, 2.22881488083
Festival du carillon de la cathédrale;Occitanie;Pyrénées-Orientales;66000;;Musique;Saison (21 juin - 5 septembre);FEST_66136_4973;42.6965954131, 2.89936953979
Festival de contes;Occitanie;Pyrénées-Orientales;66230;;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_66150_5212;42.4201535171, 2.44098964514
Saon'automne;Auvergne-Rhône-Alpes;Métropole de Lyon;69650;2015;Musique;Après-saison (6 septembre - 31 décembre);FEST_69163_5277;45.9136198331, 4.77375123298
Quinzaine du film anglophone;Bretagne;Ille-et-Vilaine;35600;2009;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35236_5311;47.6609734327, -2.08008568692
Les Flâneries Musicales de Reims;Grand Est;Marne;51100;1989;Musique;Avant-saison (1er janvier - 20 juin);FEST_51454_5334;49.2514906066, 4.0402302322
Sevenadur;Bretagne;Ille-et-Vilaine;35000;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_35238_5403;48.1119791219, -1.68186449144
Pyromélodie;Auvergne-Rhône-Alpes;Puy-de-Dôme;63130;;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_63308_5561;45.7578437859, 3.04076552996
Pucelle;Centre-Val de Loire;Indre-et-Loire;37800;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_37212_5766;47.1566893573, 0.676679379745
